Order_ID,Order_Date,Region,Product_Category,Product_Name,Quantity,Price,Total_Sales
1,2023-01-01 00:00:00,East,Furniture,Sofa,1,2955,2955
2,2023-01-01 01:00:00,West,Furniture,Laptop,2,4423,8846
3,2023-01-01 02:00:00,North,Furniture,Table,2,1890,3780
4,2023-01-01 03:00:00,East,Clothing,Laptop,4,3336,13344
5,2023-01-01 04:00:00,East,Furniture,Laptop,1,1117,1117
6,2023-01-01 05:00:00,West,Electronics,Laptop,4,3096,12384
7,2023-01-01 06:00:00,North,Furniture,Shirt,2,4886,9772
8,2023-01-01 07:00:00,North,Electronics,Shirt,4,2969,11876
9,2023-01-01 08:00:00,East,Furniture,Table,3,4776,14328
10,2023-01-01 09:00:00,South,Furniture,Laptop,2,3202,6404
11,2023-01-01 10:00:00,East,Electronics,Table,3,3665,10995
12,2023-01-01 11:00:00,East,Furniture,Shirt,1,759,759
13,2023-01-01 12:00:00,East,Furniture,Laptop,4,3678,14712
14,2023-01-01 13:00:00,East,Furniture,Sofa,2,2791,5582
15,2023-01-01 14:00:00,West,Clothing,Shirt,1,4930,4930
16,2023-01-01 15:00:00,North,Electronics,Shirt,3,1546,4638
17,2023-01-01 16:00:00,West,Furniture,Shirt,4,4866,19464
18,2023-01-01 17:00:00,West,Electronics,Laptop,4,4557,18228
19,2023-01-01 18:00:00,West,Electronics,Mobile,2,3711,7422
20,2023-01-01 19:00:00,East,Electronics,Sofa,4,1907,7628
21,2023-01-01 20:00:00,South,Furniture,Sofa,4,1900,7600
22,2023-01-01 21:00:00,North,Furniture,Table,3,1509,4527
23,2023-01-01 22:00:00,South,Electronics,Laptop,3,3906,11718
24,2023-01-01 23:00:00,West,Clothing,Shirt,3,4102,12306
25,2023-01-02 00:00:00,West,Electronics,Mobile,1,4727,4727
26,2023-01-02 01:00:00,South,Clothing,Laptop,1,3315,3315
27,2023-01-02 02:00:00,South,Electronics,Laptop,4,2244,8976
28,2023-01-02 03:00:00,South,Electronics,Mobile,1,3048,3048
29,2023-01-02 04:00:00,West,Electronics,Shirt,2,2045,4090
30,2023-01-02 05:00:00,West,Furniture,Laptop,3,634,1902
31,2023-01-02 06:00:00,North,Clothing,Sofa,1,3359,3359
32,2023-01-02 07:00:00,North,Clothing,Sofa,4,3978,15912
33,2023-01-02 08:00:00,West,Electronics,Mobile,3,2641,7923
34,2023-01-02 09:00:00,South,Furniture,Shirt,1,1764,1764
35,2023-01-02 10:00:00,South,Furniture,Mobile,3,2272,6816
36,2023-01-02 11:00:00,North,Clothing,Laptop,1,664,664
